"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"2.350","0.3532","13","0.0000","0.0000","-74.3136","56.9923","0.0000","145.0678","10.2000","0.1443","10000.0000","35.39478073","140.08804449","1567.8400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.400","0.3691","13","0.0000","0.0000","-62.9855","54.6188","0.0000","145.0604","10.2000","0.1565","10000.0000","35.39478073","140.08804450","1548.3199","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.450","0.3532","13","0.0000","0.0000","-51.6336","87.6501","0.0000","145.0675","10.2000","0.1685","10000.0000","35.39478068","140.08804455","1552.3199","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.500","0.3368","13","0.0000","0.0000","-58.2712","117.1377","0.0000","145.0755","10.2000","0.1565","10000.0000","35.39478063","140.08804443","1540.0800","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.550","0.4364","13","0.0000","0.0000","-42.5857","108.9915","0.0000","145.0656","10.2000","0.1758","10000.0000","35.39478063","140.08804453","1516.0800","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.600","0.4805","13","0.0000","0.0000","-37.0740","105.6471","0.0000","145.0566","10.2000","0.1800","10000.0000","35.39478064","140.08804464","1518.6337","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.650","0.4436","13","0.0000","0.0000","-44.2607","100.0461","0.0000","145.0423","10.2000","0.1785","10000.0000","35.39478062","140.08804458","1540.4159","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.700","0.3211","13","0.0000","0.0000","-60.3568","142.3801","0.0000","145.0245","10.2000","0.1535","10000.0000","35.39478059","140.08804459","1553.0800","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.750","0.3594","13","0.0000","0.0000","-57.6515","142.7236","0.0000","145.0013","10.2000","0.1573","10000.0000","35.39478054","140.08804470","1558.5800","0.0000","0.0000","0.0000","-0.0001","1.0000"
"2.800","0.4112","13","0.0000","0.0000","-47.0023","128.8777","0.0000","144.9970","10.2000","0.1700","10000.0000","35.39478056","140.08804484","1590.9600","0.0000","0.0000","0.0000","-0.0001","1.0000"
